Path,Date,Amount in word form,Amount in number form
check_1.png,1-12-93,two hundred and forty-one,"241.00"
check_2.png,7-7-83,three hundred and twenty-one,"321.00"
check_3.png,5-26-67,eight hundred and forty-nine,"849.00"
check_4.png,7-2-19,two hundred and sixty-five,"265.00"
check_5.png,2-22-76,nine hundred and thirty-two,"932.00"
check_6.png,8-11-46,six million twenty thousand,"6,020,000.00"
check_7.png,4-9-18,seven million six hundred and ninety thousand,"7,690,000.00"
check_8.png,4-13-17,eight hundred and thirty-one,"831.00"
check_9.png,4-20-98,five million six hundred and eighty thousand,"5,680,000.00"
check_10.png,6-8-26,four hundred and ninety-one,"491.00"
check_11.png,6-9-65,one million six hundred and ten thousand,"1,610,000.00"
check_12.png,6-1-23,five million four hundred and ninety thousand,"5,490,000.00"
check_13.png,6-11-58,eight hundred and nineteen,"819.00"
check_14.png,11-20-43,four hundred and forty-six,"446.00"
check_15.png,11-2-55,one hundred and four,"104.00"
check_16.png,10-23-70,eight million five hundred and seventy thousand,"8,570,000.00"
check_17.png,7-15-84,two hundred and thirty-seven,"237.00"
check_18.png,8-18-77,two million five hundred and fifty thousand,"2,550,000.00"
check_19.png,1-7-67,two hundred and thirty-seven,"237.00"
check_20.png,11-1-43,five hundred and twenty,"520.00"
check_21.png,1-10-74,five million four hundred and eighty thousand,"5,480,000.00"
check_22.png,3-9-78,eight hundred and thirty-two,"832.00"
check_23.png,1-7-82,seven hundred and sixty-one,"761.00"
check_24.png,10-3-60,four hundred and forty-nine,"449.00"
check_25.png,5-3-15,four hundred and fourteen,"414.00"
check_26.png,3-4-43,one hundred and five,"105.00"
check_27.png,10-24-89,three million seven hundred and forty thousand,"3,740,000.00"
check_28.png,7-17-88,three hundred and five,"305.00"
check_29.png,10-3-68,one million five hundred and seventy thousand,"1,570,000.00"
check_30.png,7-2-90,eight million four hundred and forty thousand,"8,440,000.00"
check_31.png,1-27-16,four million two hundred thousand,"4,200,000.00"
check_32.png,1-16-10,three hundred and fifteen,"315.00"
check_33.png,3-16-57,nine hundred and eighteen,"918.00"
check_34.png,1-4-52,eight million two hundred and twenty thousand,"8,220,000.00"
check_35.png,7-2-55,five million one hundred and eighty thousand,"5,180,000.00"
check_36.png,7-22-23,seven million seven hundred and ten thousand,"7,710,000.00"
check_37.png,11-27-96,two hundred and twenty-five,"225.00"
check_38.png,4-14-55,one hundred and thirty-nine,"139.00"
check_39.png,8-14-86,six hundred and eighty-two,"682.00"
check_40.png,11-20-48,five million one hundred and thirty thousand,"5,130,000.00"
check_41.png,5-12-55,nine hundred and seventeen,"917.00"
check_42.png,10-13-85,two hundred and forty thousand,"240,000.00"
check_43.png,1-6-12,seven hundred and ninety-six,"796.00"
check_44.png,10-6-88,one hundred and ten,"110.00"
check_45.png,10-16-10,six million eight hundred and ten thousand,"6,810,000.00"
check_46.png,11-2-98,six hundred and sixty-three,"663.00"
check_47.png,6-11-26,eight million sixty thousand,"8,060,000.00"
check_48.png,7-21-47,five million two hundred thousand,"5,200,000.00"
check_49.png,2-25-27,seven million seven hundred and ninety thousand,"7,790,000.00"
